"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 03 20:19:07 BRT 2021","Sat Jul 03 20:19:08 BRT 2021","826","","POST Decks","","","","Validar retorno de status da API e igual a 201",""
"passed","Sat Jul 03 20:19:03 BRT 2021","Sat Jul 03 20:19:04 BRT 2021","410","","GET Deck","","","","Validar se API e valida",""
"passed","Sat Jul 03 20:19:08 BRT 2021","Sat Jul 03 20:19:08 BRT 2021","292","","POST Decks","","","","Validar retorno de status de quando o deck nao e informado",""
"passed","Sat Jul 03 20:19:05 BRT 2021","Sat Jul 03 20:19:05 BRT 2021","277","","GET Deck","","","","Validar resposta de quando numero de deck e informado e maior que 20",""
"passed","Sat Jul 03 20:19:07 BRT 2021","Sat Jul 03 20:19:07 BRT 2021","169","","POST Decks","","","","Validar que ao informar ID existente o retorno da api ̩ com sucesso",""
"passed","Sat Jul 03 20:19:06 BRT 2021","Sat Jul 03 20:19:07 BRT 2021","305","","POST Decks","","","","Validar retorno de status da API e igual a 200",""
"passed","Sat Jul 03 20:19:07 BRT 2021","Sat Jul 03 20:19:07 BRT 2021","163","","POST Decks","","","","Validar retorno do status de Deck nao existente ",""
"passed","Sat Jul 03 20:19:04 BRT 2021","Sat Jul 03 20:19:05 BRT 2021","301","","GET Deck","","","","Validar resposta de quando numero de deck nao e informado",""
"passed","Sat Jul 03 20:19:04 BRT 2021","Sat Jul 03 20:19:04 BRT 2021","291","","GET Deck","","","","Validar se api valida lista deck",""
"passed","Sat Jul 03 20:19:04 BRT 2021","Sat Jul 03 20:19:04 BRT 2021","291","","GET Deck","","","","Validar resposta de quando numero de decks validos e informado",""
